"TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"2015-08-13",0.817106766480886,-1.05136636453219,-10.9922742043025,12.0811905936437,4.70172493872169,6.41028604419612
"2015-08-14",0.78979154972655,-1.01941599562767,-10.9623738265285,12.1115014809586,4.6625515841236,6.3802590987351
"2015-08-17",0.78659230745008,-1.02596106605259,-10.9666473860974,12.1059624125325,4.75233411160988,6.41735145124048
"2015-08-18",0.810322397298029,-1.03926026756873,-10.9484595229485,12.1292057857536,4.7846452252865,6.48046210433002
"2015-08-19",0.817391222725892,-1.03890464817183,-10.9412377160167,12.1388653318917,4.76490865143925,6.49460517962877
"2015-08-20",0.776783318568045,-1.00547719103148,-10.9933624987795,12.0796047265628,4.83910810056635,6.51133155215232
"2015-08-21",0.725445231783483,-0.95038266560553,-10.9438390821978,12.1285986691475,4.79084007537636,6.46005795695278
"2015-08-24",0.611415609408994,-0.824061727377409,-10.9281691659062,12.1407854604149,4.75268821267075,6.38637489696831
"2015-08-25",0.742642215911727,-0.980201590727172,-10.73950877075,12.2904364079776,4.6742714737176,6.43533807810503
"2015-08-26",0.75237131654973,-0.974271218118668,-10.756221502135,12.278555163704,4.70016216526799,6.48940933288625
"2015-08-27",0.785939885675833,-1.01528723564895,-10.7412864806383,12.2977635985534,4.71953099886854,6.54525993335439
"2015-08-28",0.757208239971341,-0.992649851753048,-10.757702575375,12.2763097528062,4.78099703899252,6.5407990959858
"2015-08-31",0.807157650060428,-1.04613611754821,-10.7367082995595,12.3001874154244,4.82272747631042,6.59791114915844
"2015-09-01",0.850118051661335,-1.11353781173641,-10.6420305010309,12.3856333225243,4.77054056672469,6.55471131024624
"2015-09-02",0.803648281602999,-1.06408347057378,-10.6212862118455,12.4072184820493,4.69427370608135,6.50267178561277
"2015-09-03",0.775353343677548,-1.01319937498163,-10.7088866981121,12.3200851313428,4.67003308882911,6.56397430770425
"2015-09-04",0.762427404622195,-1.01448763704147,-10.7533201530534,12.2685205036778,4.79304050102621,6.58955981305566
"2015-09-07",0.769601188516247,-0.997226421045454,-10.7919742238846,12.237411274551,4.82452449084003,6.67333192451088
"2015-09-08",0.798205381674268,-1.02774909408792,-10.7833751870086,12.2485755952703,4.86814868504469,6.71954780634602
"2015-09-09",0.784685615105836,-1.00201306489681,-10.7461202679366,12.2929511714561,4.75520305014051,6.70821518168784
"2015-09-10",0.782736672450476,-1.01186894334305,-10.7600944601407,12.2784724040803,4.83547235372398,6.74619528971996
"2015-09-11",0.786228020966191,-1.00985774921057,-10.7880105998749,12.2577123321137,4.8884648850611,6.82984295933415
"2015-09-14",0.762583225695099,-0.976734585207883,-10.806771616333,12.2401759236991,4.89413117827077,6.83787868264193
"2015-09-15",0.805540100083731,-1.04259623275703,-10.7102050908826,12.3283536814492,4.83423374429078,6.80135824856549
"2015-09-16",0.796087631107342,-1.03363738586286,-10.6547918345385,12.3843999481549,4.76852772105602,6.75855276675785
"2015-09-17",0.804776893731389,-1.04048686985668,-10.6361356126004,12.3986128232134,4.79663668582915,6.73746633328222
"2015-09-18",0.727285815487115,-0.977811351428272,-10.7396876030761,12.2766669423182,4.90646688233381,6.73625990622628
"2015-09-21",0.756025424297826,-0.998539613467116,-10.7173049696844,12.3020617843859,4.87714376908972,6.753697533451
"2015-09-22",0.724036968446658,-0.963902664362326,-10.787999096419,12.2338944767923,4.88932209139643,6.79681467841278
"2015-09-23",0.728329805724904,-0.975307902371665,-10.7920863065278,12.2195051476792,4.94325887087451,6.77407285535796
"2015-09-24",0.63700807716071,-0.866951852630238,-10.7815585152066,12.2287079543211,4.91243289486346,6.70458598391327
"2015-09-25",0.716627755030414,-0.968006075031724,-10.7004986845341,12.3069340604838,4.91153462964434,6.78079820440754
"2015-09-28",0.695540472505483,-0.958878270661454,-10.7162750217808,12.2939339558119,4.99707519227553,6.84421061669811
"2015-09-29",0.7123,-1.01744878194759,-10.6772841374651,12.3405279349442,5.15238237483168,6.96844876174502
